Rk,Season,Team,W,G,W,L,W/L%,Miscellaneous Pace,Miscellaneous ORtg,Miscellaneous DRtg,Team Shooting eFG%,Team Shooting TS%,Team TOV%,Team ORB%,Team DRB%,Team FTr,Opponent Shooting eFG%,Opponent Shooting TS%,Opponent TOV%,Opponent ORB%,Opponent DRB%,Opponent FTr
86,2023-24,Youngstown State,22,32,22,10,.688,70.8,113.8,99.4,.519,.554,13.1,35.0,72.1,.285,.479,.509,14.7,27.9,65.0,.282
87,2023-24,Little Rock,21,34,21,13,.618,69.9,109.8,103.0,.526,.562,15.1,31.9,69.9,.328,.481,.524,15.3,30.1,68.1,.353
88,2023-24,UC San Diego,21,33,21,12,.636,66.9,113.3,102.5,.533,.567,12.6,28.1,72.6,.323,.498,.528,15.0,27.4,71.9,.282
89,2023-24,Chattanooga,21,33,21,12,.636,68.5,112.9,103.3,.557,.586,15.2,28.2,71.6,.314,.489,.514,13.0,28.4,71.8,.268
90,2023-24,Cleveland State,21,36,21,15,.583,68.6,109.2,105.4,.499,.526,12.5,33.7,65.7,.317,.511,.545,17.1,34.3,66.3,.367
91,2023-24,Eastern Washington,21,32,21,11,.656,70.9,113.6,105.7,.578,.614,16.7,26.8,73.1,.382,.511,.546,14.8,26.9,73.2,.320
92,2023-24,Grambling State,21,36,21,15,.583,66.8,100.1,102.9,.487,.527,17.0,29.8,67.7,.384,.496,.532,16.4,32.3,70.2,.325
93,2023-24,Long Beach State,21,36,21,15,.583,72.9,105.4,103.5,.487,.527,14.7,33.3,70.9,.382,.507,.540,16.2,29.1,66.7,.312
94,2023-24,Longwood,21,35,21,14,.600,67.9,108.5,99.4,.502,.537,15.4,38.3,75.5,.392,.509,.540,17.7,24.5,61.7,.351
95,2023-24,Merrimack,21,33,21,12,.636,68.6,100.0,94.6,.505,.541,17.1,23.5,65.6,.342,.467,.502,20.0,34.4,76.5,.311
96,2023-24,Mississippi State,21,35,21,14,.600,68.7,107.5,100.2,.514,.543,16.0,35.4,72.2,.374,.480,.521,16.0,27.8,64.6,.318
97,2023-24,UNLV,21,34,21,13,.618,66.2,109.5,102.5,.521,.553,14.3,30.8,69.2,.323,.490,.526,15.9,30.8,69.2,.290
98,2023-24,UNC Greensboro,21,32,21,11,.656,66.9,112.2,103.4,.546,.572,14.1,29.8,71.2,.270,.483,.525,14.8,28.8,70.2,.348
99,2023-24,UNC Wilmington,21,31,21,10,.677,66.6,117.3,105.0,.530,.567,10.9,30.4,69.6,.336,.514,.543,15.9,30.4,69.6,.318
100,2023-24,Providence,21,35,21,14,.600,68.4,104.7,99.5,.515,.547,15.5,27.0,72.2,.318,.475,.508,14.8,27.8,73.0,.277
101,2023-24,Saint Joseph's,21,35,21,14,.600,68.6,109.2,102.1,.530,.558,14.5,29.1,70.8,.287,.490,.522,15.3,29.2,70.9,.288
102,2023-24,Sam Houston State,21,33,21,12,.636,69.4,103.2,98.9,.488,.526,16.1,32.5,73.1,.340,.488,.523,16.9,26.9,67.5,.363
103,2023-24,UT Martin,21,32,21,11,.656,74.5,108.6,102.2,.512,.552,13.4,27.1,74.2,.326,.483,.510,12.4,25.8,72.9,.230
104,2023-24,Texas,21,34,21,13,.618,68.2,110.1,100.6,.530,.564,14.7,29.9,69.9,.302,.481,.520,16.3,30.1,70.1,.340
105,2023-24,Texas A&M,21,36,21,15,.583,67.8,111.4,105.5,.457,.502,11.3,42.3,72.0,.386,.505,.537,14.5,28.0,57.7,.319
106,2023-24,Texas A&M–Corpus Christi,21,33,21,12,.636,70.6,105.2,93.3,.479,.517,14.3,34.6,76.1,.361,.462,.514,18.7,23.9,65.4,.464
107,2023-24,TCU,21,34,21,13,.618,70.6,110.3,100.2,.515,.551,15.2,35.9,71.6,.350,.507,.540,18.2,28.4,64.1,.354
108,2023-24,Wake Forest,21,35,21,14,.600,68.8,112.6,101.9,.542,.581,13.8,26.4,74.2,.320,.491,.529,14.5,25.8,73.6,.301
109,2023-24,Western Illinois,21,33,21,12,.636,66.9,102.1,97.4,.477,.502,16.1,38.3,72.6,.357,.452,.483,13.0,27.4,61.7,.235
110,2023-24,Arkansas State,20,37,20,17,.541,70.0,112.3,109.7,.515,.545,13.4,34.5,71.2,.329,.505,.547,12.4,28.8,65.5,.348
111,2023-24,Belmont,20,33,20,13,.606,72.0,107.7,104.5,.553,.579,15.3,21.7,72.6,.303,.507,.535,14.6,27.4,78.3,.266
112,2023-24,Boston College,20,36,20,16,.556,67.7,108.7,105.5,.525,.553,13.5,27.3,73.7,.250,.505,.538,13.8,26.3,72.7,.281
113,2023-24,Bowling Green,20,34,20,14,.588,69.1,104.6,100.9,.484,.523,14.1,30.5,75.1,.357,.506,.529,15.1,24.9,69.5,.263
114,2023-24,Bryant,20,33,20,13,.606,76.0,102.9,98.5,.523,.545,14.2,21.0,69.9,.299,.451,.489,14.1,30.1,79.0,.324
115,2023-24,UC Davis,20,33,20,13,.606,68.1,103.8,99.2,.506,.549,17.2,29.6,69.6,.387,.484,.528,18.4,30.4,70.4,.379
116,2023-24,Central Connecticut State,20,31,20,11,.645,68.0,105.2,97.0,.508,.540,14.4,28.5,72.9,.321,.482,.507,16.3,27.1,71.5,.262
117,2023-24,Drexel,20,32,20,12,.625,65.7,110.4,100.2,.514,.544,13.8,33.9,75.9,.300,.474,.504,12.0,24.1,66.1,.267
