Rk,Season,Team,W,G,W,L,W/L%,MP,Team FG,Team FGA,Team 2P,Team 2PA,Team 3P,Team 3PA,Team FT,Team FTA,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Team PTS,Opponent FG,Opponent FGA,Opponent 2P,Opponent 2PA,Opponent 3P,Opponent 3PA,Opponent FT,Opponent FTA,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent PTS
70,2023-24,Boise State,22,33,22,11,.667,201.5,26.0,58.0,18.2,35.0,7.8,23.0,15.3,20.8,11.6,25.7,37.3,12.2,5.7,2.4,11.1,16.7,75.1,24.1,55.1,17.8,34.8,6.3,20.3,12.8,17.6,7.3,22.5,29.8,11.7,5.8,3.7,11.4,17.5,67.3
71,2023-24,Cincinnati,22,37,22,15,.595,202.7,27.6,62.4,20.1,39.5,7.6,22.9,11.9,17.2,13.3,26.2,39.5,14.6,6.5,4.4,12.0,15.0,74.7,24.3,58.1,17.5,37.9,6.8,20.2,12.7,16.9,8.9,23.4,32.2,13.0,6.7,3.6,12.0,15.7,68.2
72,2023-24,Cornell,22,30,22,8,.733,200.0,29.8,61.2,19.5,31.5,10.3,29.7,12.1,16.7,9.6,25.9,35.4,18.1,8.3,2.6,12.2,18.3,82.1,26.9,60.9,18.4,35.6,8.4,25.3,12.5,19.5,11.6,24.1,35.6,14.3,6.7,3.0,13.4,15.8,74.7
73,2023-24,Louisiana Tech,22,32,22,10,.688,201.6,25.7,56.3,18.6,36.5,7.2,19.8,16.2,23.1,11.8,27.1,38.9,12.6,7.5,5.0,12.4,15.6,74.8,22.4,57.3,15.4,36.4,6.9,20.8,12.8,18.1,10.5,22.3,32.8,10.2,6.9,3.0,12.7,18.4,64.5
74,2023-24,UMass Lowell,22,32,22,10,.688,201.6,28.5,60.1,22.7,42.4,5.8,17.7,17.2,23.3,11.5,29.3,40.8,12.7,6.9,4.9,13.3,15.0,80.0,26.6,64.2,20.3,42.3,6.3,21.9,11.2,16.2,10.4,22.9,33.3,11.3,7.9,3.7,11.8,18.8,70.7
75,2023-24,Memphis,22,32,22,10,.688,201.6,28.0,61.0,19.7,37.3,8.3,23.7,16.1,22.2,12.0,25.1,37.0,13.7,8.6,4.5,13.1,17.2,80.5,26.7,62.5,17.7,35.8,9.1,26.7,13.3,18.5,12.7,23.8,36.5,14.3,7.2,4.3,13.8,18.5,75.8
76,2023-24,UNC Asheville,22,34,22,12,.647,202.2,26.6,57.4,18.5,35.0,8.1,22.3,17.4,23.5,9.4,25.4,34.8,15.7,6.0,4.3,11.9,17.1,78.9,26.0,60.4,18.9,38.5,7.1,21.9,14.0,19.8,11.4,24.0,35.4,12.3,6.2,3.1,12.8,19.9,73.1
77,2023-24,Northwestern,22,34,22,12,.647,203.7,26.2,57.6,18.1,36.7,8.2,21.0,12.7,16.9,8.5,22.9,31.4,15.6,7.0,3.1,8.8,17.6,73.3,23.7,52.6,16.9,32.9,6.8,19.6,14.9,20.6,8.8,24.6,33.4,14.0,4.9,3.9,12.4,16.7,69.1
78,2023-24,Ohio State,22,36,22,14,.611,202.2,26.6,59.1,19.5,38.6,7.1,20.4,15.3,19.9,10.9,26.1,37.1,14.1,5.6,4.6,10.6,17.0,75.5,25.4,59.3,18.4,39.3,6.9,19.9,12.6,17.7,10.4,23.9,34.3,11.9,5.1,2.7,10.8,18.2,70.2
79,2023-24,Pittsburgh,22,33,22,11,.667,200.0,26.5,60.6,16.8,33.7,9.6,26.9,13.1,18.5,11.4,25.7,37.1,13.7,6.3,4.5,9.0,15.5,75.6,24.0,55.8,17.4,34.2,6.6,21.5,12.9,17.0,8.0,25.3,33.3,12.4,5.0,3.5,11.1,16.8,67.6
